departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Puno;210805;MUNICIPALIDAD DISTRITAL DE MACARI;Gobierno local;Melgar;Macari;7;9;9936933;Presupuesto institucional total del pliego;ANEXO-7-2-2:221
Puno;210806;MUNICIPALIDAD DISTRITAL DE NUÑOA;Gobierno local;Melgar;Nunoa;7;11;12537815;Presupuesto institucional total del pliego;ANEXO-7-2-2:221
Puno;210807;MUNICIPALIDAD DISTRITAL DE ORURILLO;Gobierno local;Melgar;Orurillo;7;10;9583989;Presupuesto institucional total del pliego;ANEXO-7-2-2:222
Puno;210808;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;Gobierno local;Melgar;Santa Rosa;7;6;8699103;Presupuesto institucional total del pliego;ANEXO-7-2-2:222
Puno;210809;MUNICIPALIDAD DISTRITAL DE UMACHIRI;Gobierno local;Melgar;Umachiri;7;7;5534040;Presupuesto institucional total del pliego;ANEXO-7-2-2:222
Puno;210901;MUNICIPALIDAD PROVINCIAL DE MOHO;Gobierno local;Moho;Moho;7;8;13379103;Presupuesto institucional total del pliego;ANEXO-7-2-2:222-223
Puno;210902;MUNICIPALIDAD DISTRITAL DE CONIMA;Gobierno local;Moho;Conima;7;7;2916709;Presupuesto institucional total del pliego;ANEXO-7-2-2:223
Puno;210903;MUNICIPALIDAD DISTRITAL DE HUAYRAPATA;Gobierno local;Moho;Huayrapata;7;6;2375299;Presupuesto institucional total del pliego;ANEXO-7-2-2:223
Puno;210904;MUNICIPALIDAD DISTRITAL DE TILALI;Gobierno local;Moho;Tilali;7;6;2330972;Presupuesto institucional total del pliego;ANEXO-7-2-2:223
Puno;211001;MUNICIPALIDAD PROVINCIAL DE SAN ANTONIO DE PUTINA -PUTINA;Gobierno local;San Antonio De Putina;San Antonio De Putina;7;11;30721882;Presupuesto institucional total del pliego;ANEXO-7-2-2:224
Puno;211002;MUNICIPALIDAD DISTRITAL DE ANANEA;Gobierno local;San Antonio De Putina;Ananea;7;10;17829869;Presupuesto institucional total del pliego;ANEXO-7-2-2:224
Puno;211003;MUNICIPALIDAD DISTRITAL DE PEDRO VILCA APAZA;Gobierno local;San Antonio De Putina;Pedro Vilca Apaza;7;7;3817700;Presupuesto institucional total del pliego;ANEXO-7-2-2:224
Puno;211004;MUNICIPALIDAD DISTRITAL DE QUILCAPUNCU;Gobierno local;San Antonio De Putina;Quilcapuncu;7;7;7814290;Presupuesto institucional total del pliego;ANEXO-7-2-2:224-225
Puno;211005;MUNICIPALIDAD DISTRITAL DE SIMA;Gobierno local;San Antonio De Putina;Sima;7;6;3782802;Presupuesto institucional total del pliego;ANEXO-7-2-2:225
Puno;211101;MUNICIPALIDAD PROVINCIAL DE SAN ROMAN -JULIACA;Gobierno local;San Roman;San Roman;7;14;244102118;Presupuesto institucional total del pliego;ANEXO-7-2-2:225
Puno;211102;MUNICIPALIDAD DISTRITAL DE CABANA;Gobierno local;San Roman;Cabana;7;7;9264841;Presupuesto institucional total del pliego;ANEXO-7-2-2:225-226
Puno;211103;MUNICIPALIDAD DISTRITAL DE CABANILLAS;Gobierno local;San Roman;Cabanillas;7;10;11139432;Presupuesto institucional total del pliego;ANEXO-7-2-2:226
Puno;211104;MUNICIPALIDAD DISTRITAL DE CARACOTO;Gobierno local;San Roman;Caracoto;7;10;10811966;Presupuesto institucional total del pliego;ANEXO-7-2-2:226
