departamento;codigo_pliego;pliego;nivel_gobierno;provincia;distrito;anexos;n_asignaciones;monto_asignado_soles;concepto_del_monto;referencia_paginas_pdf
Arequipa;040109;MUNICIPALIDAD DISTRITAL DE MARIANO MELGAR;Gobierno local;Arequipa;Mariano Melgar;7;9;74435230;Presupuesto institucional total del pliego;ANEXO-7-1-2:96
Arequipa;040110;MUNICIPALIDAD DISTRITAL DE MIRAFLORES;Gobierno local;Arequipa;Miraflores;7;11;65200754;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040111;MUNICIPALIDAD DISTRITAL DE MOLLEBAYA;Gobierno local;Arequipa;Mollebaya;7;10;13595431;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040112;MUNICIPALIDAD DISTRITAL DE PAUCARPATA;Gobierno local;Arequipa;Paucarpata;7;12;106322357;Presupuesto institucional total del pliego;ANEXO-7-1-2:97
Arequipa;040113;MUNICIPALIDAD DISTRITAL DE POCSI;Gobierno local;Arequipa;Pocsi;7;6;2670086;Presupuesto institucional total del pliego;ANEXO-7-1-2:97-98
Arequipa;040114;MUNICIPALIDAD DISTRITAL DE POLOBAYA;Gobierno local;Arequipa;Polobaya;7;6;3021481;Presupuesto institucional total del pliego;ANEXO-7-1-2:98
Arequipa;040115;MUNICIPALIDAD DISTRITAL DE QUEQUEÑA;Gobierno local;Arequipa;Quequena;7;7;15879811;Presupuesto institucional total del pliego;ANEXO-7-1-2:98
Arequipa;040116;MUNICIPALIDAD DISTRITAL DE SABANDIA;Gobierno local;Arequipa;Sabandia;7;11;6535989;Presupuesto institucional total del pliego;ANEXO-7-1-2:98-99
Arequipa;040117;MUNICIPALIDAD DISTRITAL DE SACHACA;Gobierno local;Arequipa;Sachaca;7;8;46225870;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040118;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SIGUAS;Gobierno local;Arequipa;San Juan De Siguas;7;7;2163491;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040119;MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI;Gobierno local;Arequipa;San Juan De Tarucani;7;6;8571726;Presupuesto institucional total del pliego;ANEXO-7-1-2:99
Arequipa;040120;MUNICIPALIDAD DISTRITAL DE SANTA ISABEL DE SIGUAS;Gobierno local;Arequipa;Santa Isabel De Siguas;7;5;2691425;Presupuesto institucional total del pliego;ANEXO-7-1-2:99-100
Arequipa;040121;MUNICIPALIDAD DISTRITAL DE SANTA RITA DE SIGUAS;Gobierno local;Arequipa;Santa Rita De Siguas;7;6;11231529;Presupuesto institucional total del pliego;ANEXO-7-1-2:100
Arequipa;040122;MUNICIPALIDAD DISTRITAL DE SOCABAYA;Gobierno local;Arequipa;Socabaya;7;12;90266490;Presupuesto institucional total del pliego;ANEXO-7-1-2:100
Arequipa;040123;MUNICIPALIDAD DISTRITAL DE TIABAYA;Gobierno local;Arequipa;Tiabaya;7;12;55434978;Presupuesto institucional total del pliego;ANEXO-7-1-2:100
Arequipa;040124;MUNICIPALIDAD DISTRITAL DE UCHUMAYO;Gobierno local;Arequipa;Uchumayo;7;12;68585229;Presupuesto institucional total del pliego;ANEXO-7-1-2:101
Arequipa;040125;MUNICIPALIDAD DISTRITAL DE VITOR;Gobierno local;Arequipa;Vitor;7;7;17400852;Presupuesto institucional total del pliego;ANEXO-7-1-2:101
Arequipa;040126;MUNICIPALIDAD DISTRITAL DE YANAHUARA;Gobierno local;Arequipa;Yanahuara;7;11;27372003;Presupuesto institucional total del pliego;ANEXO-7-1-2:101
Arequipa;040127;MUNICIPALIDAD DISTRITAL DE YARABAMBA;Gobierno local;Arequipa;Yarabamba;7;7;88154578;Presupuesto institucional total del pliego;ANEXO-7-1-2:101-102
Arequipa;040128;MUNICIPALIDAD DISTRITAL DE YURA;Gobierno local;Arequipa;Yura;7;14;74822860;Presupuesto institucional total del pliego;ANEXO-7-1-2:102
Arequipa;040129;MUNICIPALIDAD DISTRITAL DE JOSE LUIS BUSTAMANTE Y RIVERO;Gobierno local;Arequipa;Jose Luis Bustamante Y Rivero;7;11;74921749;Presupuesto institucional total del pliego;ANEXO-7-1-2:102
Arequipa;040201;MUNICIPALIDAD PROVINCIAL DE CAMANA;Gobierno local;Camana;Camana;7;16;21552728;Presupuesto institucional total del pliego;ANEXO-7-1-2:103
Arequipa;040202;MUNICIPALIDAD DISTRITAL DE JOSE MARIA QUIMPER;Gobierno local;Camana;Jose Maria Quimper;7;7;5565752;Presupuesto institucional total del pliego;ANEXO-7-1-2:103
Arequipa;040203;MUNICIPALIDAD DISTRITAL DE MARIANO NICOLAS VALCARCEL;Gobierno local;Camana;Mariano Nicolas Valcarcel;7;9;15654202;Presupuesto institucional total del pliego;ANEXO-7-1-2:103
Arequipa;040204;MUNICIPALIDAD DISTRITAL DE MARISCAL CACERES;Gobierno local;Camana;Mariscal Caceres;7;9;8574000;Presupuesto institucional total del pliego;ANEXO-7-1-2:103-104
Arequipa;040205;MUNICIPALIDAD DISTRITAL DE NICOLAS DE PIEROLA;Gobierno local;Camana;Nicolas De Pierola;7;9;8075643;Presupuesto institucional total del pliego;ANEXO-7-1-2:104
Arequipa;040206;MUNICIPALIDAD DISTRITAL DE OCOÑA;Gobierno local;Camana;Ocona;7;10;5739510;Presupuesto institucional total del pliego;ANEXO-7-1-2:104
Arequipa;040207;MUNICIPALIDAD DISTRITAL DE QUILCA;Gobierno local;Camana;Quilca;7;6;2238365;Presupuesto institucional total del pliego;ANEXO-7-1-2:104
Arequipa;040208;MUNICIPALIDAD DISTRITAL DE SAMUEL PASTOR;Gobierno local;Camana;Samuel Pastor;7;12;19508674;Presupuesto institucional total del pliego;ANEXO-7-1-2:105
Arequipa;040301;MUNICIPALIDAD PROVINCIAL DE CARAVELI;Gobierno local;Caraveli;Caraveli;7;10;14336170;Presupuesto institucional total del pliego;ANEXO-7-1-2:105
Arequipa;040302;MUNICIPALIDAD DISTRITAL DE ACARI;Gobierno local;Caraveli;Acari;7;8;8767015;Presupuesto institucional total del pliego;ANEXO-7-1-2:105
Arequipa;040303;MUNICIPALIDAD DISTRITAL DE ATICO;Gobierno local;Caraveli;Atico;7;10;14376022;Presupuesto institucional total del pliego;ANEXO-7-1-2:105-106
Arequipa;040304;MUNICIPALIDAD DISTRITAL DE ATIQUIPA;Gobierno local;Caraveli;Atiquipa;7;6;3301834;Presupuesto institucional total del pliego;ANEXO-7-1-2:106
Arequipa;040305;MUNICIPALIDAD DISTRITAL DE BELLA UNION;Gobierno local;Caraveli;Bella Union;7;7;8102238;Presupuesto institucional total del pliego;ANEXO-7-1-2:106
Arequipa;040306;MUNICIPALIDAD DISTRITAL DE CAHUACHO;Gobierno local;Caraveli;Cahuacho;7;5;1795412;Presupuesto institucional total del pliego;ANEXO-7-1-2:106
Arequipa;040307;MUNICIPALIDAD DISTRITAL DE CHALA;Gobierno local;Caraveli;Chala;7;10;26993296;Presupuesto institucional total del pliego;ANEXO-7-1-2:106-107
Arequipa;040308;MUNICIPALIDAD DISTRITAL DE CHAPARRA;Gobierno local;Caraveli;Chaparra;7;5;8104537;Presupuesto institucional total del pliego;ANEXO-7-1-2:107
Arequipa;040309;MUNICIPALIDAD DISTRITAL DE HUANUHUANU;Gobierno local;Caraveli;Huanuhuanu;7;10;10335229;Presupuesto institucional total del pliego;ANEXO-7-1-2:107
Arequipa;040310;MUNICIPALIDAD DISTRITAL DE JAQUI;Gobierno local;Caraveli;Jaqui;7;5;2577636;Presupuesto institucional total del pliego;ANEXO-7-1-2:107
Arequipa;040311;MUNICIPALIDAD DISTRITAL DE LOMAS;Gobierno local;Caraveli;Lomas;7;6;3747990;Presupuesto institucional total del pliego;ANEXO-7-1-2:108
Arequipa;040312;MUNICIPALIDAD DISTRITAL DE QUICACHA;Gobierno local;Caraveli;Quicacha;7;6;4846331;Presupuesto institucional total del pliego;ANEXO-7-1-2:108
Arequipa;040313;MUNICIPALIDAD DISTRITAL DE YAUCA;Gobierno local;Caraveli;Yauca;7;6;3820096;Presupuesto institucional total del pliego;ANEXO-7-1-2:108
Arequipa;040401;MUNICIPALIDAD PROVINCIAL DE CASTILLA -APIA0;Gobierno local;Castilla;Castilla;7;13;15326041;Presupuesto institucional total del pliego;ANEXO-7-1-2:108-109
Arequipa;040402;MUNICIPALIDAD DISTRITAL DE ANDAGUA;Gobierno local;Castilla;Andagua;7;7;2708377;Presupuesto institucional total del pliego;ANEXO-7-1-2:109
Arequipa;040403;MUNICIPALIDAD DISTRITAL DE AYO;Gobierno local;Castilla;Ayo;7;7;1256228;Presupuesto institucional total del pliego;ANEXO-7-1-2:109
Arequipa;040404;MUNICIPALIDAD DISTRITAL DE CHACHAS;Gobierno local;Castilla;Chachas;7;7;3382406;Presupuesto institucional total del pliego;ANEXO-7-1-2:109
Arequipa;040405;MUNICIPALIDAD DISTRITAL DE CHILCAYMARCA;Gobierno local;Castilla;Chilcaymarca;7;7;4451553;Presupuesto institucional total del pliego;ANEXO-7-1-2:109-110
Arequipa;040406;MUNICIPALIDAD DISTRITAL DE CHOCO;Gobierno local;Castilla;Choco;7;7;2572554;Presupuesto institucional total del pliego;ANEXO-7-1-2:110
Arequipa;040407;MUNICIPALIDAD DISTRITAL DE HUANCARQUI;Gobierno local;Castilla;Huancarqui;7;7;2988693;Presupuesto institucional total del pliego;ANEXO-7-1-2:110
Arequipa;040408;MUNICIPALIDAD DISTRITAL DE MACHAGUAY;Gobierno local;Castilla;Machaguay;7;5;1460405;Presupuesto institucional total del pliego;ANEXO-7-1-2:110
Arequipa;040409;MUNICIPALIDAD DISTRITAL DE ORCOPAMPA;Gobierno local;Castilla;Orcopampa;7;5;9362193;Presupuesto institucional total del pliego;ANEXO-7-1-2:111
Arequipa;040410;MUNICIPALIDAD DISTRITAL DE PAMPACOLCA;Gobierno local;Castilla;Pampacolca;7;6;2491660;Presupuesto institucional total del pliego;ANEXO-7-1-2:111
Arequipa;040411;MUNICIPALIDAD DISTRITAL DE TIPAN;Gobierno local;Castilla;Tipan;7;5;1424851;Presupuesto institucional total del pliego;ANEXO-7-1-2:111
Arequipa;040412;MUNICIPALIDAD DISTRITAL DE UÑON;Gobierno local;Castilla;Unon;7;6;1417764;Presupuesto institucional total del pliego;ANEXO-7-1-2:111
Arequipa;040413;MUNICIPALIDAD DISTRITAL DE URACA;Gobierno local;Castilla;Uraca;7;8;8705129;Presupuesto institucional total del pliego;ANEXO-7-1-2:111-112
Arequipa;040414;MUNICIPALIDAD DISTRITAL DE VIRACO;Gobierno local;Castilla;Viraco;7;6;2620490;Presupuesto institucional total del pliego;ANEXO-7-1-2:112
Arequipa;040501;MUNICIPALIDAD PROVINCIAL DE CAYLLOMA -CHIVAY;Gobierno local;Caylloma;Caylloma;7;16;42722901;Presupuesto institucional total del pliego;ANEXO-7-1-2:112
Arequipa;040502;MUNICIPALIDAD DISTRITAL DE ACHOMA;Gobierno local;Caylloma;Achoma;7;5;2081576;Presupuesto institucional total del pliego;ANEXO-7-1-2:112
Arequipa;040503;MUNICIPALIDAD DISTRITAL DE CABANACONDE;Gobierno local;Caylloma;Cabanaconde;7;7;4160140;Presupuesto institucional total del pliego;ANEXO-7-1-2:113
Arequipa;040504;MUNICIPALIDAD DISTRITAL DE CALLALLI;Gobierno local;Caylloma;Callalli;7;5;2856451;Presupuesto institucional total del pliego;ANEXO-7-1-2:113
Arequipa;040505;MUNICIPALIDAD DISTRITAL DE CAYLLOMA;Gobierno local;Caylloma;Caylloma;7;8;9311530;Presupuesto institucional total del pliego;ANEXO-7-1-2:113
Arequipa;040506;MUNICIPALIDAD DISTRITAL DE COPORAQUE;Gobierno local;Caylloma;Coporaque;7;6;2471709;Presupuesto institucional total del pliego;ANEXO-7-1-2:113
Arequipa;040507;MUNICIPALIDAD DISTRITAL DE HUAMBO;Gobierno local;Caylloma;Huambo;7;5;1906358;Presupuesto institucional total del pliego;ANEXO-7-1-2:114
Arequipa;040508;MUNICIPALIDAD DISTRITAL DE HUANCA;Gobierno local;Caylloma;Huanca;7;7;3197295;Presupuesto institucional total del pliego;ANEXO-7-1-2:114
Arequipa;040509;MUNICIPALIDAD DISTRITAL DE ICHUPAMPA;Gobierno local;Caylloma;Ichupampa;7;7;1956955;Presupuesto institucional total del pliego;ANEXO-7-1-2:114
Arequipa;040510;MUNICIPALIDAD DISTRITAL DE LARI;Gobierno local;Caylloma;Lari;7;5;2287245;Presupuesto institucional total del pliego;ANEXO-7-1-2:114
Arequipa;040511;MUNICIPALIDAD DISTRITAL DE LLUTA;Gobierno local;Caylloma;Lluta;7;6;2532438;Presupuesto institucional total del pliego;ANEXO-7-1-2:115
Arequipa;040512;MUNICIPALIDAD DISTRITAL DE MACA;Gobierno local;Caylloma;Maca;7;5;1942118;Presupuesto institucional total del pliego;ANEXO-7-1-2:115
Arequipa;040513;MUNICIPALIDAD DISTRITAL DE MADRIGAL;Gobierno local;Caylloma;Madrigal;7;5;2331760;Presupuesto institucional total del pliego;ANEXO-7-1-2:115
Arequipa;040514;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO DE CHUCA;Gobierno local;Caylloma;San Antonio De Chuca;7;7;3410920;Presupuesto institucional total del pliego;ANEXO-7-1-2:115
Arequipa;040515;MUNICIPALIDAD DISTRITAL DE SIBAYO;Gobierno local;Caylloma;Sibayo;7;6;2187288;Presupuesto institucional total del pliego;ANEXO-7-1-2:115-116
Arequipa;040516;MUNICIPALIDAD DISTRITAL DE TAPAY;Gobierno local;Caylloma;Tapay;7;5;4863028;Presupuesto institucional total del pliego;ANEXO-7-1-2:116
Arequipa;040517;MUNICIPALIDAD DISTRITAL DE TISCO;Gobierno local;Caylloma;Tisco;7;6;4067942;Presupuesto institucional total del pliego;ANEXO-7-1-2:116
Arequipa;040518;MUNICIPALIDAD DISTRITAL DE TUTI;Gobierno local;Caylloma;Tuti;7;5;1986625;Presupuesto institucional total del pliego;ANEXO-7-1-2:116
Arequipa;040519;MUNICIPALIDAD DISTRITAL DE YANQUE;Gobierno local;Caylloma;Yanque;7;7;4546238;Presupuesto institucional total del pliego;ANEXO-7-1-2:116-117
Arequipa;040520;MUNICIPALIDAD DISTRITAL DE MAJES;Gobierno local;Caylloma;Majes;7;12;120814620;Presupuesto institucional total del pliego;ANEXO-7-1-2:117
Arequipa;040601;MUNICIPALIDAD PROVINCIAL DE CONDESUYOS -CHUQUIBAMBA;Gobierno local;Condesuyos;Condesuyos;7;11;9903020;Presupuesto institucional total del pliego;ANEXO-7-1-2:117
Arequipa;040602;MUNICIPALIDAD DISTRITAL DE ANDARAY;Gobierno local;Condesuyos;Andaray;7;5;2464586;Presupuesto institucional total del pliego;ANEXO-7-1-2:117
Arequipa;040603;MUNICIPALIDAD DISTRITAL DE CAYARANI;Gobierno local;Condesuyos;Cayarani;7;5;8271306;Presupuesto institucional total del pliego;ANEXO-7-1-2:118
Arequipa;040604;MUNICIPALIDAD DISTRITAL DE CHICHAS;Gobierno local;Condesuyos;Chichas;7;5;2327956;Presupuesto institucional total del pliego;ANEXO-7-1-2:118
Arequipa;040605;MUNICIPALIDAD DISTRITAL DE IRAY;Gobierno local;Condesuyos;Iray;7;5;1808918;Presupuesto institucional total del pliego;ANEXO-7-1-2:118
Arequipa;040606;MUNICIPALIDAD DISTRITAL DE RIO GRANDE;Gobierno local;Condesuyos;Rio Grande;7;7;11224079;Presupuesto institucional total del pliego;ANEXO-7-1-2:118
Arequipa;040607;MUNICIPALIDAD DISTRITAL DE SALAMANCA;Gobierno local;Condesuyos;Salamanca;7;5;1774947;Presupuesto institucional total del pliego;ANEXO-7-1-2:118-119
Arequipa;040608;MUNICIPALIDAD DISTRITAL DE YANAQUIHUA;Gobierno local;Condesuyos;Yanaquihua;7;10;10866185;Presupuesto institucional total del pliego;ANEXO-7-1-2:119
Arequipa;040701;MUNICIPALIDAD PROVINCIAL DE ISLAY -MOLIENDO;Gobierno local;Islay;Islay;7;14;70685742;Presupuesto institucional total del pliego;ANEXO-7-1-2:119
Arequipa;040702;MUNICIPALIDAD DISTRITAL DE COCACHACRA;Gobierno local;Islay;Cocachacra;7;12;30695046;Presupuesto institucional total del pliego;ANEXO-7-1-2:119-120
Arequipa;040703;MUNICIPALIDAD DISTRITAL DE DEAN VALDIVIA;Gobierno local;Islay;Dean Valdivia;7;13;19975986;Presupuesto institucional total del pliego;ANEXO-7-1-2:120
Arequipa;040704;MUNICIPALIDAD DISTRITAL DE ISLAY;Gobierno local;Islay;Islay;7;8;20287330;Presupuesto institucional total del pliego;ANEXO-7-1-2:120
Arequipa;040705;MUNICIPALIDAD DISTRITAL DE MEJIA;Gobierno local;Islay;Mejia;7;9;12136335;Presupuesto institucional total del pliego;ANEXO-7-1-2:120-121
Arequipa;040706;MUNICIPALIDAD DISTRITAL DE PUNTA DE BOMBON;Gobierno local;Islay;Punta De Bombon;7;10;18808177;Presupuesto institucional total del pliego;ANEXO-7-1-2:121
Arequipa;040801;MUNICIPALIDAD PROVINCIAL DE LA UNION -COTA}UASI;Gobierno local;La Union;La Union;7;10;7391893;Presupuesto institucional total del pliego;ANEXO-7-1-2:121
Arequipa;040802;MUNICIPALIDAD DISTRITAL DE ALCA;Gobierno local;La Union;Alca;7;6;3012062;Presupuesto institucional total del pliego;ANEXO-7-1-2:121
Arequipa;040803;MUNICIPALIDAD DISTRITAL DE CHARCANA;Gobierno local;La Union;Charcana;7;5;1610396;Presupuesto institucional total del pliego;ANEXO-7-1-2:122
Arequipa;040804;MUNICIPALIDAD DISTRITAL DE HUAYNACOTAS;Gobierno local;La Union;Huaynacotas;7;7;3564690;Presupuesto institucional total del pliego;ANEXO-7-1-2:122
Arequipa;040805;MUNICIPALIDAD DISTRITAL DE PAMPAMARCA;Gobierno local;La Union;Pampamarca;7;5;2068054;Presupuesto institucional total del pliego;ANEXO-7-1-2:122
Arequipa;040806;MUNICIPALIDAD DISTRITAL DE PUYCA;Gobierno local;La Union;Puyca;7;5;4035276;Presupuesto institucional total del pliego;ANEXO-7-1-2:122
Arequipa;040807;MUNICIPALIDAD DISTRITAL DE QUECHUAL1A;Gobierno local;La Union;Quechual1A;7;6;1444776;Presupuesto institucional total del pliego;ANEXO-7-1-2:122-123
Arequipa;040808;MUNICIPALIDAD DISTRITAL DE SAYLA;Gobierno local;La Union;Sayla;7;6;1325571;Presupuesto institucional total del pliego;ANEXO-7-1-2:123
Arequipa;040809;MUNICIPALIDAD DISTRITAL DE TAURIA;Gobierno local;La Union;Tauria;7;5;1374613;Presupuesto institucional total del pliego;ANEXO-7-1-2:123
Arequipa;040810;MUNICIPALIDAD DISTRITAL DE TOMEPAMPA;Gobierno local;La Union;Tomepampa;7;5;1654472;Presupuesto institucional total del pliego;ANEXO-7-1-2:123
Arequipa;040811;MUNICIPALIDAD DISTRITAL DE TORO;Gobierno local;La Union;Toro;7;5;1703223;Presupuesto institucional total del pliego;ANEXO-7-1-2:123-124
Moquegua;455;GOBIERNO REGIONAL DEL DEPARTAMENTO DE MOQUEGUA;Gobierno regional;;;6;348;768940447;Presupuesto institucional total del pliego;ANEXO-6-2:54-69
Moquegua;005;M. DEL AMBIENTE;Gobierno nacional;;;5;1;6078472;Partidas localizadas en Moquegua;ANEXO-5-1:44
Moquegua;010;M. DE EDUCACION;Gobierno nacional;;;5;2;14795554;Partidas localizadas en Moquegua;ANEXO-5-1:102,105
Moquegua;011;M. DE SALUD;Gobierno nacional;;;5;2;221202;Partidas localizadas en Moquegua;ANEXO-5-2:119-120
Moquegua;013;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Gobierno nacional;;;5;9;10018372;Partidas localizadas en Moquegua;ANEXO-5-3:7,9,11-14,17
Moquegua;016;M. DE ENERGIA Y MINAS;Gobierno nacional;;;5;1;1060000;Partidas localizadas en Moquegua;ANEXO-5-3:35
Moquegua;026;M. DE DEFENSA;Gobierno nacional;;;5;1;2203718;Partidas localizadas en Moquegua;ANEXO-5-3:54
Moquegua;035;MINISTERIO DE COMERCIO EXTERIOR Y TURISMO;Gobierno nacional;;;5;1;655365;Partidas localizadas en Moquegua;ANEXO-5-3:68
Moquegua;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;Gobierno nacional;;;5;4;75963233;Partidas localizadas en Moquegua;ANEXO-5-3:76,78,80-81
Moquegua;039;MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES;Gobierno nacional;;;5;1;233375;Partidas localizadas en Moquegua;ANEXO-5-3:135
Moquegua;050;SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP;Gobierno nacional;;;5;1;20000;Partidas localizadas en Moquegua;ANEXO-5-1:47
Moquegua;067;SUPERINTENDENCIA NACIONAL DE LOS REGISTROS PUBLICOS;Gobierno nacional;;;5;2;269832;Partidas localizadas en Moquegua;ANEXO-5-1:63
Moquegua;163;INSTITUTO NACIONAL DE INNOVACION AGRARIA;Gobierno nacional;;;5;1;18000000;Partidas localizadas en Moquegua;ANEXO-5-3:23
Moquegua;241;INSTITUTO TECNOLOGICO DE LA PRODUCCION - ITP;Gobierno nacional;;;5;2;799047;Partidas localizadas en Moquegua;ANEXO-5-3:130
Moquegua;545;U.N. DE MOQUEGUA;Gobierno nacional;;;5;31;64616600;Presupuesto institucional total del pliego;ANEXO-5-2:52-53
Moquegua;180101;MUNICIPALIDAD PROVINCIAL DE MARISCAL NIETO -MOQUEGUA;Gobierno local;Mariscal Nieto;Mariscal Nieto;7;15;225961149;Presupuesto institucional total del pliego;ANEXO-7-2-2:166
Moquegua;180102;MUNICIPALIDAD DISTRITAL DE CARUMAS;Gobierno local;Mariscal Nieto;Carumas;7;9;19790342;Presupuesto institucional total del pliego;ANEXO-7-2-2:166-167
Moquegua;180103;MUNICIPALIDAD DISTRITAL DE CUCHUMBAYA;Gobierno local;Mariscal Nieto;Cuchumbaya;7;6;6077820;Presupuesto institucional total del pliego;ANEXO-7-2-2:167
Moquegua;180104;MUNICIPALIDAD DISTRITAL DE SAMEGUA;Gobierno local;Mariscal Nieto;Samegua;7;6;40644795;Presupuesto institucional total del pliego;ANEXO-7-2-2:167
Moquegua;180105;MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL;Gobierno local;Mariscal Nieto;San Cristobal;7;6;9364538;Presupuesto institucional total del pliego;ANEXO-7-2-2:167
Moquegua;180106;MUNICIPALIDAD DISTRITAL DE TORATA;Gobierno local;Mariscal Nieto;Torata;7;13;165897982;Presupuesto institucional total del pliego;ANEXO-7-2-2:167-168
Moquegua;180107;MUNICIPALIDAD DISTRITAL DE SAN ANTONIO;Gobierno local;Mariscal Nieto;San Antonio;7;8;208938143;Presupuesto institucional total del pliego;ANEXO-7-2-2:168
Moquegua;180201;MUNICIPALIDAD PROVINCIAL DE GENERAL SANCHEZ CERRO -OMATE;Gobierno local;General Sanchez Cerro;General Sanchez Cerro;7;10;10382841;Presupuesto institucional total del pliego;ANEXO-7-2-2:168
Moquegua;180202;MUNICIPALIDAD DISTRITAL DE CHOJATA;Gobierno local;General Sanchez Cerro;Chojata;7;7;1822199;Presupuesto institucional total del pliego;ANEXO-7-2-2:168
Moquegua;180203;MUNICIPALIDAD DISTRITAL DE COALAQUE;Gobierno local;General Sanchez Cerro;Coalaque;7;7;2535846;Presupuesto institucional total del pliego;ANEXO-7-2-2:168-169
Moquegua;180204;MUNICIPALIDAD DISTRITAL DE ICHUÑA;Gobierno local;General Sanchez Cerro;Ichuna;7;9;13269585;Presupuesto institucional total del pliego;ANEXO-7-2-2:169
Moquegua;180205;MUNICIPALIDAD DISTRITAL DE LA CAPILLA;Gobierno local;General Sanchez Cerro;La Capilla;7;7;3384313;Presupuesto institucional total del pliego;ANEXO-7-2-2:169
Moquegua;180206;MUNICIPALIDAD DISTRITAL DE LLOQUE;Gobierno local;General Sanchez Cerro;Lloque;7;7;2038902;Presupuesto institucional total del pliego;ANEXO-7-2-2:169
Moquegua;180207;MUNICIPALIDAD DISTRITAL DE MATALAQUE;Gobierno local;General Sanchez Cerro;Matalaque;7;7;1800327;Presupuesto institucional total del pliego;ANEXO-7-2-2:170
Moquegua;180208;MUNICIPALIDAD DISTRITAL DE PUQUINA;Gobierno local;General Sanchez Cerro;Puquina;7;7;7335198;Presupuesto institucional total del pliego;ANEXO-7-2-2:170
Moquegua;180209;MUNICIPALIDAD DISTRITAL DE QUINISTAQUILLAS;Gobierno local;General Sanchez Cerro;Quinistaquillas;7;5;1888010;Presupuesto institucional total del pliego;ANEXO-7-2-2:170
Moquegua;180210;MUNICIPALIDAD DISTRITAL DE UBINAS;Gobierno local;General Sanchez Cerro;Ubinas;7;10;3402864;Presupuesto institucional total del pliego;ANEXO-7-2-2:170
Moquegua;180211;MUNICIPALIDAD DISTRITAL DE YUNGA;Gobierno local;General Sanchez Cerro;Yunga;7;5;2598069;Presupuesto institucional total del pliego;ANEXO-7-2-2:171
Moquegua;180301;MUNICIPALIDAD PROVINCIAL DE ILO;Gobierno local;Ilo;Ilo;7;14;197605467;Presupuesto institucional total del pliego;ANEXO-7-2-2:171
Moquegua;180302;MUNICIPALIDAD DISTRITAL DE EL ALGARROBAL;Gobierno local;Ilo;El Algarrobal;7;8;78613123;Presupuesto institucional total del pliego;ANEXO-7-2-2:171
Moquegua;180303;MUNICIPALIDAD DISTRITAL DE PACOCHA;Gobierno local;Ilo;Pacocha;7;8;12215995;Presupuesto institucional total del pliego;ANEXO-7-2-2:171-172
Puno;458;GOBIERNO REGIONAL DEL DEPARTAMENTO DE PUNO;Gobierno regional;;;6;570;3398770623;Presupuesto institucional total del pliego;ANEXO-6-2:108-134
Puno;003;M. DE CULTURA;Gobierno nacional;;;5;1;2000000;Partidas localizadas en Puno;ANEXO-5-1:33
Puno;004;PODER JUDICIAL;Gobierno nacional;;;5;1;327276;Partidas localizadas en Puno;ANEXO-5-1:40
Puno;005;M. DEL AMBIENTE;Gobierno nacional;;;5;4;9874830;Partidas localizadas en Puno;ANEXO-5-1:44
Puno;006;M. DE JUSTICIA Y DERECHOS HUMANOS;Gobierno nacional;;;5;1;100000;Partidas localizadas en Puno;ANEXO-5-1:58
Puno;010;M. DE EDUCACION;Gobierno nacional;;;5;10;66858509;Partidas localizadas en Puno;ANEXO-5-1:98,100-102,104-105
Puno;011;M. DE SALUD;Gobierno nacional;;;5;4;45221201;Partidas localizadas en Puno;ANEXO-5-2:117,121
Puno;013;MINISTERIO DE DESARROLLO AGRARIO Y RIEGO;Gobierno nacional;;;5;11;29611087;Partidas localizadas en Puno;ANEXO-5-3:6-10,13
Puno;016;M. DE ENERGIA Y MINAS;Gobierno nacional;;;5;16;28298798;Partidas localizadas en Puno;ANEXO-5-3:31-35
Puno;018;AGROMERCADO;Gobierno nacional;;;5;1;3400000;Partidas localizadas en Puno;ANEXO-5-3:20
Puno;035;MINISTERIO DE COMERCIO EXTERIOR Y TURISMO;Gobierno nacional;;;5;2;7715111;Partidas localizadas en Puno;ANEXO-5-3:67-68
Puno;036;MINISTERIO DE TRANSPORTES Y COMUNICACIONES;Gobierno nacional;;;5;9;237866756;Partidas localizadas en Puno;ANEXO-5-3:75-76,78-79,82
Puno;037;MINISTERIO DE VIVIENDA, CONSTRUCCION Y SANEAMIENTO;Gobierno nacional;;;5;63;325439385;Partidas localizadas en Puno;ANEXO-5-3:91,93-96,104-112,114
Puno;039;MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES;Gobierno nacional;;;5;1;233375;Partidas localizadas en Puno;ANEXO-5-3:135
Puno;040;MINISTERIO DE DESARROLLO E INCLUSION SOCIAL;Gobierno nacional;;;5;1;1811768;Partidas localizadas en Puno;ANEXO-5-3:141
